Size,Cluster Volume,Cluster cutedges,Conductance,Lower,Upper,Internal edges,Conn value,Final Gap
3,59,55,0.932203,0.434502,1.86441,2,0.374921,0.402188
2,19,17,0.894737,0.400277,1.78947,1,0.384311,0.429524
2,42,40,0.952381,0.453515,1.90476,1,0.306097,0.321402
357,24635,23053,0.935782,0.437844,1.87156,791,0.504532,0.539155
34,1407,1335,0.948827,0.450137,1.89765,36,0.336284,0.35442
627,27558,15734,0.570941,0.162987,1.14188,5912,2.12353,3.71935
43,1051,957,0.910561,0.414561,1.82112,47,0.361687,0.397213
227,7636,5292,0.693033,0.240147,1.38607,1172,1.32967,1.91862
57,1395,1277,0.915412,0.41899,1.83082,59,0.329134,0.359547
116,2746,2032,0.739985,0.273789,1.47997,357,0.894944,1.20941
6,79,57,0.721519,0.260295,1.44304,11,0.963346,1.33516
939,35979,15979,0.44412,0.0986214,0.88824,10000,2.33746,5.26313
2,24,22,0.916667,0.420139,1.83333,1,0.357669,0.390185
48,860,754,0.876744,0.38434,1.75349,53,0.376206,0.429095
43,718,604,0.841226,0.35383,1.68245,57,0.464021,0.551601
51,1248,1060,0.849359,0.360705,1.69872,94,0.59522,0.700788
2,33,31,0.939394,0.44123,1.87879,1,0.326482,0.347545
3,47,41,0.87234,0.380489,1.74468,3,0.594799,0.681842
366,13951,8473,0.60734,0.184431,1.21468,2739,1.80561,2.97298
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634
792,37091,26087,0.703324,0.247333,1.40665,5502,1.52036,2.16168
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634
97,1714,1370,0.7993,0.31944,1.5986,172,0.548253,0.685917
175,4294,3190,0.742897,0.275948,1.48579,552,0.86824,1.16872
604,24769,13913,0.56171,0.157759,1.12342,5428,2.04527,3.64114
3,14,8,0.571429,0.163265,1.14286,3,0.850274,1.48798
32,374,260,0.695187,0.241643,1.39037,57,0.692008,0.995427
119,2391,1941,0.811794,0.329505,1.62359,225,0.5596,0.689338
76,2153,1883,0.874594,0.382457,1.74919,135,0.532909,0.609322
3,31,27,0.870968,0.379292,1.74194,2,0.442924,0.508542
2,27,25,0.925926,0.428669,1.85185,1,0.345505,0.373145
300,11186,7454,0.666369,0.222024,1.33274,1866,1.53629,2.30547
2,7,5,0.714286,0.255102,1.42857,1,0.553655,0.775117
55,1601,1473,0.92005,0.423246,1.8401,64,0.363107,0.39466
34,529,441,0.833648,0.347485,1.6673,44,0.475032,0.569823
2,11,9,0.818182,0.334711,1.63636,1,0.463314,0.566273
2,26,24,0.923077,0.426036,1.84615,1,0.349317,0.378427
2,21,19,0.904762,0.409297,1.80952,1,0.372461,0.411667
279,8868,6598,0.744023,0.276785,1.48805,1135,1.03045,1.38497
116,2407,1847,0.767345,0.294409,1.53469,280,0.71379,0.930207
3,10,6,0.6,0.18,1.2,2,0.640168,1.06695
2,31,29,0.935484,0.437565,1.87097,1,0.332193,0.355103
57,1135,1003,0.8837,0.390463,1.7674,66,0.378969,0.428844
55,896,728,0.8125,0.330078,1.625,84,0.51723,0.636591
4457,365826,180388,0.493098,0.121573,0.986196,92719,3.73934,7.58337
759,29798,15792,0.529968,0.140433,1.05994,7003,2.06218,3.89114
2,9,7,0.777778,0.302469,1.55556,1,0.5,0.642857
2,17,15,0.882353,0.389273,1.76471,1,0.39832,0.451429
30,915,855,0.934426,0.436576,1.86885,30,0.337622,0.361314
4,68,62,0.911765,0.415657,1.82353,3,0.407864,0.447335
3,55,51,0.927273,0.429917,1.85455,2,0.381347,0.411257
104,2561,2183,0.852401,0.363294,1.7048,189,0.533157,0.625476
465,23765,9549,0.401809,0.0807254,0.803619,7108,3.49318,8.69364
408,15655,9887,0.631555,0.199431,1.26311,2884,1.68514,2.66824
2,52,50,0.961538,0.462278,1.92308,1,0.289977,0.301576
416,14386,10010,0.695815,0.24208,1.39163,2188,1.26495,1.81794
73,2352,1828,0.777211,0.302028,1.55442,262,1.06449,1.36962
63,1140,894,0.784211,0.307493,1.56842,123,0.638599,0.814321
2,18,16,0.888889,0.395062,1.77778,1,0.391006,0.439881
2,23,21,0.913043,0.416824,1.82609,1,0.362263,0.396765
60,1078,940,0.871985,0.380179,1.74397,69,0.37916,0.434824
2,25,23,0.92,0.4232,1.84,1,0.353364,0.384091
52,938,818,0.872068,0.380251,1.74414,60,0.388152,0.445094
