Size,Cluster Volume,Cluster cutedges,Conductance,Lower,Upper,Internal edges,Conn value,Final Gap
313,9194,7050,0.766804,0.293995,1.53361,1072,0.864104,1.12689
2,26,24,0.923077,0.426036,1.84615,1,0.349317,0.378427
2,5,3,0.6,0.18,1.2,1,0.642549,1.07091
156,4089,2855,0.698215,0.243752,1.39643,617,1.09508,1.5684
372,11026,7380,0.669327,0.223999,1.33865,1823,1.21227,1.81117
2,28,26,0.928571,0.431122,1.85714,1,0.341904,0.368205
47,1382,1286,0.930535,0.432948,1.86107,48,0.325162,0.349436
84,1197,1015,0.847953,0.359512,1.69591,91,0.351908,0.415009
50,686,538,0.784257,0.307529,1.56851,74,0.521686,0.665198
19,175,127,0.725714,0.263331,1.45143,24,0.562525,0.775133
251,7901,4929,0.623845,0.194591,1.24769,1486,1.51891,2.43476
2,4,2,0.5,0.125,1.0,1,0.715338,1.43068
256,7888,5300,0.671907,0.225729,1.34381,1294,1.29706,1.93042
202,5039,3735,0.741218,0.274702,1.48244,652,0.871785,1.17615
2,52,50,0.961538,0.462278,1.92308,1,0.289977,0.301576
3,32,28,0.875,0.382812,1.75,2,0.439026,0.501744
4,53,47,0.886792,0.3932,1.77358,3,0.432927,0.488194
37,380,284,0.747368,0.27928,1.49474,48,0.502648,0.672557
3,12,8,0.666667,0.222222,1.33333,2,0.598474,0.897712
67,1189,1033,0.868797,0.377404,1.73759,78,0.378528,0.435691
63,759,557,0.73386,0.269276,1.46772,101,0.556501,0.75832
58,1847,1713,0.92745,0.430082,1.8549,67,0.35362,0.381282
50,930,788,0.847312,0.358969,1.69462,71,0.478284,0.564472
112,2243,1729,0.770843,0.297099,1.54169,257,0.684759,0.888325
485,20954,13530,0.6457,0.208464,1.2914,3712,1.77114,2.74298
2,23,21,0.913043,0.416824,1.82609,1,0.362263,0.396765
2,12,10,0.833333,0.347222,1.66667,1,0.448856,0.538627
54,729,589,0.807956,0.326397,1.61591,70,0.452724,0.560333
3,36,32,0.888889,0.395062,1.77778,2,0.425115,0.478255
2,67,65,0.970149,0.470595,1.9403,1,0.27285,0.281245
50,762,618,0.811024,0.32888,1.62205,72,0.499562,0.615965
2,17,15,0.882353,0.389273,1.76471,1,0.39832,0.451429
41,612,486,0.794118,0.315311,1.58824,63,0.551249,0.694166
4,66,60,0.909091,0.413223,1.81818,3,0.410717,0.451789
971,42774,20226,0.472857,0.111797,0.945715,11274,2.50707,5.30196
171,4323,3105,0.718251,0.257942,1.4365,609,0.979515,1.36375
4,22,14,0.636364,0.202479,1.27273,4,0.734361,1.154
1187,59267,41105,0.693556,0.24051,1.38711,9081,1.60291,2.31114
2,24,22,0.916667,0.420139,1.83333,1,0.357669,0.390185
62,1134,966,0.851852,0.362826,1.7037,84,0.443483,0.52061
78,1340,1094,0.816418,0.333269,1.63284,123,0.504223,0.617605
2,27,25,0.925926,0.428669,1.85185,1,0.345505,0.373145
109,2388,2000,0.837521,0.350721,1.67504,194,0.526851,0.62906
353,9861,6489,0.658047,0.216513,1.31609,1686,1.19586,1.81728
2,4,2,0.5,0.125,1.0,1,0.715338,1.43068
13,289,217,0.750865,0.281899,1.50173,36,1.12461,1.49775
6,123,111,0.902439,0.407198,1.80488,6,0.477687,0.529329
2,17,15,0.882353,0.389273,1.76471,1,0.39832,0.451429
1379,77922,41656,0.534586,0.142891,1.06917,18133,2.68812,5.02842
5,26,18,0.692308,0.239645,1.38462,4,0.558908,0.807311
3,10,6,0.6,0.18,1.2,2,0.640168,1.06695
225,6662,3336,0.500751,0.125376,1.0015,1663,1.93299,3.86018
743,55893,28033,0.501548,0.125775,1.0031,13930,3.9492,7.87404
2,13,11,0.846154,0.357988,1.69231,1,0.436251,0.51557
4,18,12,0.666667,0.222222,1.33333,3,0.586509,0.879763
50,793,601,0.757881,0.287192,1.51576,96,0.66211,0.873633
55,1596,1478,0.926065,0.428798,1.85213,59,0.334881,0.361618
76,2069,1819,0.879169,0.386469,1.75834,125,0.496005,0.564175
2,9,7,0.777778,0.302469,1.55556,1,0.5,0.642857
2,36,34,0.944444,0.445988,1.88889,1,0.318837,0.337592
2,48,46,0.958333,0.459201,1.91667,1,0.295824,0.308686
2,14,12,0.857143,0.367347,1.71429,1,0.425137,0.495993
433,17840,13128,0.735874,0.270756,1.47175,2356,1.27983,1.7392
155,3545,2979,0.840339,0.353084,1.68068,283,0.51435,0.612074
3962,269752,96386,0.357313,0.0638364,0.714627,86683,4.02849,11.2744
123,2371,1537,0.64825,0.210114,1.2965,417,1.00448,1.54953
2,81,79,0.975309,0.475613,1.95062,1,0.261258,0.267873
80,1664,1296,0.778846,0.303301,1.55769,184,0.713972,0.916705
929,50678,20808,0.410592,0.084293,0.821185,14935,3.41701,8.32214
46,541,443,0.818854,0.335261,1.63771,49,0.389619,0.47581
2,22,20,0.909091,0.413223,1.81818,1,0.367181,0.403899
166,3949,3009,0.761965,0.290295,1.52393,470,0.787223,1.03315
291,9523,6227,0.653891,0.213786,1.30778,1648,1.42334,2.17673
2,44,42,0.954545,0.455579,1.90909,1,0.302441,0.316843
276,855,237,0.277193,0.038418,0.554386,309,0.381782,1.37731
2,17,15,0.882353,0.389273,1.76471,1,0.39832,0.451429
537,16076,9652,0.600398,0.180239,1.2008,3212,1.42204,2.36849
2,9,7,0.777778,0.302469,1.55556,1,0.5,0.642857
3,104,100,0.961538,0.462278,1.92308,2,0.329839,0.343032
834,30281,16643,0.549619,0.15104,1.09924,6819,1.82458,3.31971
572,28252,17000,0.601727,0.181038,1.20345,5626,2.20973,3.67232
984,61330,35542,0.579521,0.167922,1.15904,12894,2.73695,4.72279
44,1173,1075,0.916454,0.419944,1.83291,49,0.362787,0.39586
241,8405,5051,0.600952,0.180572,1.2019,1677,1.77305,2.95041
37,1024,948,0.925781,0.428535,1.85156,38,0.341123,0.36847
53,1694,1572,0.927981,0.430574,1.85596,61,0.356421,0.384082
2,6,4,0.666667,0.222222,1.33333,1,0.591647,0.887471
2,14,12,0.857143,0.367347,1.71429,1,0.425137,0.495993
2,61,59,0.967213,0.467751,1.93443,1,0.278957,0.288413
2,62,60,0.967742,0.468262,1.93548,1,0.27788,0.287142
738,25484,15564,0.610736,0.186499,1.22147,4960,1.52529,2.49746
2,10,8,0.8,0.32,1.6,1,0.480126,0.600158
138,2422,1944,0.802642,0.322117,1.60528,239,0.511733,0.63756
3,14,10,0.714286,0.255102,1.42857,2,0.566849,0.793589
501,17299,9727,0.562287,0.158083,1.12457,3786,1.78311,3.17117
2,9,7,0.777778,0.302469,1.55556,1,0.5,0.642857
2,42,40,0.952381,0.453515,1.90476,1,0.306097,0.321402
28,532,458,0.860902,0.370576,1.7218,37,0.484621,0.562922
368,12309,8863,0.720042,0.25923,1.44008,1723,1.14469,1.58975
55,2256,2098,0.929965,0.432417,1.85993,79,0.428314,0.46057
57,1042,914,0.877159,0.384704,1.75432,64,0.372002,0.424098
823,45795,23363,0.510165,0.130134,1.02033,11216,2.92398,5.73145
2,13,11,0.846154,0.357988,1.69231,1,0.436251,0.51557
3,47,43,0.914894,0.418515,1.82979,2,0.396532,0.433419
486,16719,9057,0.541719,0.14673,1.08344,3831,1.86651,3.44553
46,1576,1482,0.940355,0.442134,1.88071,47,0.31951,0.339776
2,7,5,0.714286,0.255102,1.42857,1,0.553655,0.775117
75,806,648,0.80397,0.323184,1.60794,79,0.36236,0.450713
52,868,730,0.841014,0.353652,1.68203,69,0.451485,0.536834
340,9398,5764,0.613322,0.188082,1.22664,1817,1.34508,2.19311
2,7,5,0.714286,0.255102,1.42857,1,0.553655,0.775117
58,1528,1402,0.917539,0.420939,1.83508,63,0.341102,0.371757
385,13675,8793,0.642998,0.206723,1.286,2441,1.53296,2.38408
49,1497,1391,0.929192,0.431699,1.85838,53,0.340617,0.366573
237,4747,3379,0.711818,0.253342,1.42364,684,0.785004,1.10282
2,3,1,0.333333,0.0555556,0.666667,1,0.830482,2.49145
2,15,13,0.866667,0.375556,1.73333,1,0.415241,0.479124
3001,179294,68884,0.384196,0.0738032,0.768392,55205,3.50153,9.11392
59,1099,795,0.723385,0.261643,1.44677,152,0.84707,1.17098
50,1363,1235,0.90609,0.410499,1.81218,64,0.408318,0.450637
1000,58658,32436,0.552968,0.152887,1.10594,13111,2.7496,4.97243
3,88,84,0.954545,0.455579,1.90909,2,0.341987,0.358272
32,577,445,0.771231,0.297398,1.54246,66,0.746761,0.968272
100,2039,1511,0.74105,0.274577,1.4821,264,0.797672,1.07641
32,631,567,0.898574,0.403717,1.79715,32,0.357051,0.397354
90,1968,1666,0.846545,0.358319,1.69309,151,0.509306,0.601629
46,750,656,0.874667,0.382521,1.74933,47,0.355308,0.406222
8,41,27,0.658537,0.216835,1.31707,7,0.539042,0.818546
17,167,121,0.724551,0.262487,1.4491,23,0.607979,0.839111
2,12,10,0.833333,0.347222,1.66667,1,0.448856,0.538627
97,2268,1752,0.772487,0.298368,1.54497,258,0.792588,1.02602
2,11,9,0.818182,0.334711,1.63636,1,0.463314,0.566273
246,6397,4795,0.74957,0.280928,1.49914,801,0.855507,1.14133
267,9329,5443,0.583449,0.170207,1.1669,1943,1.83309,3.14182
4,56,50,0.892857,0.398597,1.78571,3,0.427138,0.478394
258,6975,5175,0.741935,0.275234,1.48387,900,0.907578,1.22326
52,817,605,0.740514,0.274181,1.48103,106,0.69984,0.945073
2,4,2,0.5,0.125,1.0,1,0.715338,1.43068
2052,126205,75395,0.597401,0.178444,1.1948,25405,2.42706,4.06269
4,66,58,0.878788,0.386134,1.75758,4,0.547623,0.623157
2,49,47,0.959184,0.460017,1.91837,1,0.294296,0.306819
3,35,31,0.885714,0.392245,1.77143,2,0.428366,0.483639
175,4133,2867,0.693685,0.240599,1.38737,633,1.00021,1.44188
339,9196,6322,0.687473,0.236309,1.37495,1437,1.06945,1.55563
99,3586,1992,0.555494,0.154287,1.11099,797,2.26473,4.07697
160,3868,2944,0.761117,0.289649,1.52223,462,0.804856,1.05747
534,19475,11905,0.611297,0.186842,1.22259,3785,1.65241,2.70312
62,2331,2201,0.94423,0.445785,1.88846,65,0.311304,0.329691
62,1083,925,0.854109,0.364751,1.70822,79,0.419829,0.49154
2,32,30,0.9375,0.439453,1.875,1,0.329269,0.351221
5,18,8,0.444444,0.0987654,0.888889,5,0.782011,1.75953
2,32,30,0.9375,0.439453,1.875,1,0.329269,0.351221
2,81,79,0.975309,0.475613,1.95062,1,0.261258,0.267873
44,591,483,0.817259,0.333956,1.63452,54,0.442688,0.541674
337,14709,9869,0.67095,0.225087,1.3419,2420,1.72305,2.56808
3,12,6,0.5,0.125,1.0,3,0.897712,1.79542
1142,59843,26679,0.445817,0.0993762,0.891633,16582,3.03958,6.81801
100,1892,1490,0.787526,0.310099,1.57505,201,0.613338,0.778815
2,22,20,0.909091,0.413223,1.81818,1,0.367181,0.403899
1041,49751,27087,0.544451,0.148214,1.0889,11332,2.31768,4.2569
1414,56876,28512,0.501301,0.125651,1.0026,14182,2.10932,4.2077
5420,386525,138593,0.358562,0.0642832,0.717123,123966,4.09365,11.4169
3,68,64,0.941176,0.442907,1.88235,2,0.362546,0.385205
2,57,55,0.964912,0.465528,1.92982,1,0.283539,0.293849
126,2610,1930,0.739464,0.273403,1.47893,340,0.789747,1.068
260,11324,7802,0.688979,0.237346,1.37796,1761,1.6707,2.42489
734,42352,23122,0.545948,0.14903,1.0919,9615,2.83116,5.18577
171,3889,2745,0.705837,0.249103,1.41167,572,0.931776,1.3201
51,1684,1562,0.927553,0.430178,1.85511,61,0.370693,0.399646
65,1425,1229,0.862456,0.371915,1.72491,98,0.478007,0.55424
475,17364,9442,0.543769,0.147842,1.08754,3961,1.96688,3.61713
48,747,613,0.820616,0.336705,1.64123,67,0.485693,0.591864
43,1050,944,0.899048,0.404143,1.7981,53,0.407915,0.453719
201,5880,3458,0.588095,0.172928,1.17619,1211,1.59834,2.71783
6,103,91,0.883495,0.390282,1.76699,6,0.495778,0.561155
335,12872,9420,0.731821,0.267781,1.46364,1726,1.25368,1.7131
2,17,15,0.882353,0.389273,1.76471,1,0.39832,0.451429
5,54,46,0.851852,0.362826,1.7037,4,0.459674,0.539618
53,953,843,0.884575,0.391236,1.76915,55,0.348286,0.393733
2,6,4,0.666667,0.222222,1.33333,1,0.591647,0.887471
585,31245,18841,0.603008,0.18181,1.20602,6202,2.35866,3.91149
744,30182,18142,0.601087,0.180653,1.20217,6020,1.80621,3.00491
4,88,76,0.863636,0.372934,1.72727,6,0.769471,0.890967
2,30,28,0.933333,0.435556,1.86667,1,0.335264,0.359212
67,1013,837,0.826259,0.341352,1.65252,88,0.436932,0.528807
3,9,5,0.555556,0.154321,1.11111,2,0.666667,1.2
47,1356,1252,0.923304,0.426245,1.84661,52,0.353186,0.382524
2,91,89,0.978022,0.478263,1.95604,1,0.25461,0.260332
390,12297,8755,0.711962,0.253445,1.42392,1771,1.11032,1.55952
3139,203201,129317,0.636399,0.202502,1.2728,36942,2.2172,3.48397
55,1431,1291,0.902166,0.406952,1.80433,70,0.40328,0.447012
2,10,8,0.8,0.32,1.6,1,0.480126,0.600158
2,28,26,0.928571,0.431122,1.85714,1,0.341904,0.368205
2,11,9,0.818182,0.334711,1.63636,1,0.463314,0.566273
51,930,818,0.87957,0.386822,1.75914,56,0.369841,0.420479
138,3412,2138,0.626612,0.196321,1.25322,637,1.30647,2.08498
420,12105,8795,0.726559,0.263944,1.45312,1655,0.965093,1.32831
171,6437,5469,0.849619,0.360927,1.69924,484,0.743133,0.874666
570,28802,16484,0.572321,0.163776,1.14464,6159,2.42301,4.23365
318,8040,5796,0.720896,0.259845,1.44179,1122,0.903463,1.25325
3,12,6,0.5,0.125,1.0,3,0.897712,1.79542
70,960,708,0.7375,0.271953,1.475,126,0.603475,0.818272
739,31123,15115,0.485654,0.11793,0.971307,8004,2.41055,4.96353
47,1492,1390,0.931635,0.433972,1.86327,51,0.341867,0.366954
2,24,22,0.916667,0.420139,1.83333,1,0.357669,0.390185
200,4735,3357,0.708976,0.251323,1.41795,689,0.93731,1.32206
99,1659,1169,0.704641,0.24826,1.40928,245,0.768529,1.09067
376,16263,10425,0.641026,0.205457,1.28205,2919,1.84348,2.87582
114,2807,2277,0.811186,0.329012,1.62237,265,0.674099,0.831004
60,730,564,0.772603,0.298457,1.54521,83,0.483021,0.625187
2,9,7,0.777778,0.302469,1.55556,1,0.5,0.642857
2,11,9,0.818182,0.334711,1.63636,1,0.463314,0.566273
56,1522,1410,0.926413,0.42912,1.85283,56,0.314199,0.339156
77,1234,962,0.779579,0.303871,1.55916,136,0.571288,0.732817
3,56,52,0.928571,0.431122,1.85714,2,0.379678,0.408884
107,1499,1201,0.801201,0.320961,1.6024,149,0.438439,0.547228
585,21260,10828,0.509313,0.1297,1.01863,5216,2.06033,4.0453
46,1590,1488,0.935849,0.437907,1.8717,51,0.346287,0.370024
81,1284,1012,0.788162,0.3106,1.57632,136,0.540066,0.685222
2,71,69,0.971831,0.472228,1.94366,1,0.269203,0.277006
2,11,9,0.818182,0.334711,1.63636,1,0.463314,0.566273
2,13,11,0.846154,0.357988,1.69231,1,0.436251,0.51557
1118,90264,40084,0.444075,0.0986014,0.88815,25090,4.52866,10.198
49,1420,1306,0.919718,0.422941,1.83944,57,0.368987,0.401195
1349,87077,33315,0.382592,0.0731885,0.765185,26881,4.0338,10.5433
263,9742,6452,0.662287,0.219312,1.32457,1645,1.56812,2.36774
95,945,555,0.587302,0.172462,1.1746,195,0.689754,1.17445
3,66,62,0.939394,0.44123,1.87879,2,0.365082,0.388635
75,2458,2216,0.901546,0.406393,1.80309,121,0.475803,0.527764
347,12289,7437,0.605175,0.183119,1.21035,2426,1.70956,2.82491
2,44,42,0.954545,0.455579,1.90909,1,0.302441,0.316843
216,8642,5470,0.632955,0.200316,1.26591,1586,1.86518,2.94678
48,1516,1408,0.92876,0.431297,1.85752,54,0.353664,0.380792
9,50,26,0.52,0.1352,1.04,12,0.780837,1.50161
476,29985,13687,0.456462,0.104179,0.912923,8149,3.824,8.37749
579,17238,10592,0.614456,0.188778,1.22891,3323,1.3547,2.20471
111,2851,2523,0.884953,0.391571,1.76991,164,0.427616,0.483208
4,11,5,0.454545,0.103306,0.909091,3,0.694971,1.52894
267,6616,5016,0.758162,0.287405,1.51632,800,0.784224,1.03438
1371,64726,32164,0.496926,0.123467,0.993851,16281,2.46831,4.96717
2,20,18,0.9,0.405,1.8,1,0.378152,0.420169
226,7184,3574,0.497494,0.12375,0.994989,1805,2.07102,4.16289
3,123,119,0.96748,0.468008,1.93496,2,0.318458,0.329162
2,15,13,0.866667,0.375556,1.73333,1,0.415241,0.479124
43,1041,957,0.919308,0.422564,1.83862,42,0.323654,0.352062
62,1394,1256,0.901004,0.405904,1.80201,69,0.353912,0.392797
619,32540,18362,0.56429,0.159212,1.12858,7089,2.53795,4.49761
187,6058,4418,0.729284,0.265927,1.45857,820,1.15932,1.58967
2,12,10,0.833333,0.347222,1.66667,1,0.448856,0.538627
12,137,109,0.79562,0.316506,1.59124,14,0.545202,0.685254
2,22,20,0.909091,0.413223,1.81818,1,0.367181,0.403899
2,40,38,0.95,0.45125,1.9,1,0.310023,0.32634
841,30598,17548,0.573502,0.164452,1.147,6525,1.72963,3.01591
2,42,40,0.952381,0.453515,1.90476,1,0.306097,0.321402
2,13,11,0.846154,0.357988,1.69231,1,0.436251,0.51557
252,12191,9173,0.75244,0.283083,1.50488,1509,1.46549,1.94765
1247,34724,16362,0.471201,0.111015,0.942403,9181,1.62146,3.44112
2,33,31,0.939394,0.44123,1.87879,1,0.326482,0.347545
477,16125,9231,0.572465,0.163858,1.14493,3447,1.7175,3.00018
2,20,18,0.9,0.405,1.8,1,0.378152,0.420169
3683,277143,94641,0.341488,0.058307,0.682976,91251,4.5522,13.3305
332,14208,8002,0.563204,0.158599,1.12641,3103,2.25075,3.99633
134,2750,2068,0.752,0.282752,1.504,341,0.73987,0.98387
3,26,22,0.846154,0.357988,1.69231,2,0.465756,0.550439
22,265,219,0.826415,0.341481,1.65283,23,0.431136,0.521695
2,16,14,0.875,0.382812,1.75,1,0.406356,0.464407
2,16,14,0.875,0.382812,1.75,1,0.406356,0.464407
272,12738,8404,0.659758,0.21764,1.31952,2167,1.94072,2.94156
2,27,25,0.925926,0.428669,1.85185,1,0.345505,0.373145
3,150,146,0.973333,0.473689,1.94667,2,0.305954,0.314336
2,26,24,0.923077,0.426036,1.84615,1,0.349317,0.378427
1621,84161,59457,0.706467,0.249548,1.41293,12352,1.54717,2.19001
2,12,10,0.833333,0.347222,1.66667,1,0.448856,0.538627
3,16,12,0.75,0.28125,1.5,2,0.541808,0.72241
629,30315,23085,0.761504,0.289944,1.52301,3615,1.28238,1.68401
2,22,20,0.909091,0.413223,1.81818,1,0.367181,0.403899
331,14896,10042,0.674141,0.227233,1.34828,2427,1.75705,2.60635
57,1783,1643,0.921481,0.424563,1.84296,70,0.377706,0.40989
2,14,12,0.857143,0.367347,1.71429,1,0.425137,0.495993
2,4,2,0.5,0.125,1.0,1,0.715338,1.43068
101,2983,2127,0.713041,0.254213,1.42608,428,1.21953,1.71032
2,20,18,0.9,0.405,1.8,1,0.378152,0.420169
60,1079,787,0.729379,0.265997,1.45876,146,0.802174,1.0998
76,1189,813,0.683768,0.233769,1.36754,188,0.804307,1.17629
3,10,6,0.6,0.18,1.2,2,0.640168,1.06695
2,47,45,0.957447,0.458352,1.91489,1,0.297399,0.310617
318,10959,7277,0.66402,0.220462,1.32804,1841,1.43306,2.15816
231,5974,4286,0.717442,0.257362,1.43488,844,0.967519,1.34857
180,4310,3154,0.731787,0.267756,1.46357,578,0.883489,1.2073
1432,58920,32728,0.555465,0.154271,1.11093,13096,1.91713,3.45141
3,20,16,0.8,0.32,1.6,2,0.504203,0.630253
48,1381,1283,0.929037,0.431555,1.85807,49,0.325054,0.349882
3,173,169,0.976879,0.477146,1.95376,2,0.297546,0.304589
2,22,20,0.909091,0.413223,1.81818,1,0.367181,0.403899
59,1926,1778,0.923157,0.426109,1.84631,74,0.381821,0.413604
428,20566,13094,0.636682,0.202682,1.27336,3736,2.02379,3.17866
83,1327,685,0.516202,0.133232,1.0324,321,1.2383,2.39888
1761,160788,49792,0.309675,0.0479493,0.61935,55498,6.0533,19.5473
2,21,19,0.904762,0.409297,1.80952,1,0.372461,0.411667
56,1343,1155,0.860015,0.369813,1.72003,94,0.536559,0.623895
42,925,835,0.902703,0.407436,1.80541,45,0.361162,0.40009
48,704,580,0.823864,0.339376,1.64773,62,0.453505,0.550461
4,72,66,0.916667,0.420139,1.83333,3,0.402507,0.439098
629,30867,19077,0.618039,0.190986,1.23608,5895,2.08754,3.37768
351,14011,9505,0.678396,0.23011,1.35679,2253,1.54801,2.28186
78,1280,942,0.735938,0.270802,1.47188,169,0.697227,0.9474
2,6,4,0.666667,0.222222,1.33333,1,0.591647,0.887471
1022,47678,28642,0.600738,0.180443,1.20148,9518,1.99069,3.31374
261,8236,4152,0.504128,0.127073,1.00826,2042,1.99801,3.9633
2,5,3,0.6,0.18,1.2,1,0.642549,1.07091
50,1504,1404,0.933511,0.435721,1.86702,50,0.314709,0.337124
44,1479,1385,0.936444,0.438463,1.87289,47,0.336938,0.359806
184,5059,3255,0.643408,0.206987,1.28682,902,1.32343,2.0569
2,7,5,0.714286,0.255102,1.42857,1,0.553655,0.775117
92,2277,1903,0.835749,0.349238,1.6715,187,0.605384,0.724361
56,1521,1403,0.922419,0.425429,1.84484,59,0.33106,0.358904
2,19,17,0.894737,0.400277,1.78947,1,0.384311,0.429524
2,91,89,0.978022,0.478263,1.95604,1,0.25461,0.260332
288,10966,7384,0.673354,0.226703,1.34671,1791,1.53926,2.28596
2,23,21,0.913043,0.416824,1.82609,1,0.362263,0.396765
2,15,13,0.866667,0.375556,1.73333,1,0.415241,0.479124
2,24,22,0.916667,0.420139,1.83333,1,0.357669,0.390185
449,20778,11764,0.566176,0.160277,1.13235,4507,2.32486,4.10625
280,8900,5028,0.564944,0.159581,1.12989,1936,1.7507,3.09889
78,1635,1165,0.712538,0.253855,1.42508,235,0.937468,1.31567
134,3496,2410,0.689359,0.237608,1.37872,543,1.14351,1.6588
2,10,8,0.8,0.32,1.6,1,0.480126,0.600158
3,54,50,0.925926,0.428669,1.85185,2,0.383062,0.413707
247,5454,3966,0.727173,0.26439,1.45435,744,0.806077,1.10851
48,1734,1612,0.929642,0.432118,1.85928,61,0.392317,0.422009
2,16,14,0.875,0.382812,1.75,1,0.406356,0.464407
102,1603,1099,0.68559,0.235016,1.37118,252,0.770805,1.1243
108,2617,2045,0.781429,0.305316,1.56286,286,0.774772,0.991481
2,42,40,0.952381,0.453515,1.90476,1,0.306097,0.321402
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634
3,14,10,0.714286,0.255102,1.42857,2,0.566849,0.793589
2,10,8,0.8,0.32,1.6,1,0.480126,0.600158
352,12545,7201,0.574014,0.164746,1.14803,2672,1.85212,3.22661
2,68,66,0.970588,0.471021,1.94118,1,0.271909,0.280149
3,23,19,0.826087,0.34121,1.65217,2,0.483018,0.584706
163,4952,3994,0.806543,0.325256,1.61309,479,0.795333,0.986101
302,9488,5988,0.631113,0.199152,1.26223,1750,1.45697,2.30858
80,3412,3128,0.916764,0.420228,1.83353,142,0.502387,0.548
2,11,9,0.818182,0.334711,1.63636,1,0.463314,0.566273
43,775,631,0.814194,0.331456,1.62839,72,0.579411,0.711638
173,3416,2190,0.641101,0.205505,1.2822,613,1.00275,1.5641
349,5617,1891,0.336657,0.0566688,0.673313,1863,1.42365,4.2288
41,1241,1123,0.904915,0.409436,1.80983,59,0.465083,0.513952
265,9786,7228,0.738606,0.27277,1.47721,1279,1.20943,1.63745
46,1332,1238,0.929429,0.43192,1.85886,47,0.326974,0.351801
1171,59553,26117,0.438551,0.0961633,0.877101,16718,2.98994,6.81777
2,4,2,0.5,0.125,1.0,1,0.715338,1.43068
3,16,10,0.625,0.195312,1.25,3,0.812712,1.30034
53,1479,1369,0.925625,0.428391,1.85125,55,0.327334,0.353636
274,14692,11954,0.81364,0.331005,1.62728,1369,1.199,1.47362
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634
78,1166,876,0.751286,0.282216,1.50257,145,0.606107,0.806759
88,1272,1002,0.787736,0.310264,1.57547,135,0.494098,0.627239
2,54,52,0.962963,0.463649,1.92593,1,0.287296,0.298346
538,17483,9601,0.549162,0.150789,1.09832,3941,1.72658,3.14404
538,22799,10907,0.478398,0.114432,0.956796,5946,2.53607,5.30118
2,11,9,0.818182,0.334711,1.63636,1,0.463314,0.566273
30,425,361,0.849412,0.36075,1.69882,32,0.405668,0.477587
2,24,22,0.916667,0.420139,1.83333,1,0.357669,0.390185
472,30775,27239,0.885102,0.391702,1.7702,1768,0.834578,0.942918
722,33013,16503,0.499894,0.124947,0.999788,8255,2.53027,5.06161
32,909,843,0.927393,0.430029,1.85479,33,0.348508,0.375793
51,859,711,0.827707,0.342549,1.65541,74,0.494456,0.597381
4443,456485,133633,0.292743,0.0428494,0.585487,161426,6.41985,21.9299
144,2975,2031,0.682689,0.233032,1.36538,472,0.943617,1.38221
773,34019,23283,0.684412,0.23421,1.36882,5368,1.53239,2.23898
53,901,745,0.826859,0.341848,1.65372,78,0.498002,0.602281
59,917,719,0.784079,0.30739,1.56816,99,0.566337,0.722296
238,5640,3940,0.698582,0.244008,1.39716,850,0.952037,1.36281
296,9851,6167,0.626028,0.195955,1.25206,1842,1.55827,2.48913
297,10408,7928,0.761722,0.29011,1.52344,1240,1.03925,1.36434
559,18790,13328,0.709313,0.251563,1.41863,2731,1.14309,1.61154
2,19,17,0.894737,0.400277,1.78947,1,0.384311,0.429524
65,1066,864,0.810507,0.32846,1.62101,101,0.513131,0.6331
2,40,38,0.95,0.45125,1.9,1,0.310023,0.32634
268,7328,4860,0.66321,0.219923,1.32642,1234,1.19131,1.79628
2164,163231,74873,0.458694,0.1052,0.917387,44179,3.9164,8.53816
2,13,11,0.846154,0.357988,1.69231,1,0.436251,0.51557
6,51,39,0.764706,0.292388,1.52941,6,0.582749,0.762057
54,905,645,0.712707,0.253976,1.42541,130,0.814103,1.14227
44,1570,1482,0.943949,0.44552,1.8879,44,0.312874,0.331452
3,19,15,0.789474,0.311634,1.57895,2,0.512415,0.649058
2,11,9,0.818182,0.334711,1.63636,1,0.463314,0.566273
136,3513,2681,0.763165,0.291211,1.52633,416,0.862661,1.13037
2,7,5,0.714286,0.255102,1.42857,1,0.553655,0.775117
2,109,107,0.981651,0.48182,1.9633,1,0.244931,0.249509
2,6,4,0.666667,0.222222,1.33333,1,0.591647,0.887471
41,665,449,0.675188,0.227939,1.35038,108,0.932945,1.38176
69,992,798,0.804435,0.323558,1.60887,97,0.469076,0.583112
2,46,44,0.956522,0.457467,1.91304,1,0.299026,0.312618
162,2874,2362,0.821851,0.33772,1.6437,256,0.456899,0.555938
3863,368525,194449,0.527641,0.139203,1.05528,87038,4.04766,7.67124
663,37923,19517,0.514648,0.132431,1.0293,9203,3.03147,5.89038
2,16,14,0.875,0.382812,1.75,1,0.406356,0.464407
290,11748,8616,0.733401,0.268939,1.4668,1566,1.32678,1.80908
8,298,284,0.95302,0.454124,1.90604,7,0.35344,0.370863
2,7,5,0.714286,0.255102,1.42857,1,0.553655,0.775117
99,1857,1367,0.736134,0.270946,1.47227,245,0.757024,1.02838
2,17,15,0.882353,0.389273,1.76471,1,0.39832,0.451429
429,14998,9242,0.616215,0.189861,1.23243,2878,1.60645,2.60696
4,31,23,0.741935,0.275234,1.48387,4,0.664386,0.895476
2,7,5,0.714286,0.255102,1.42857,1,0.553655,0.775117
55,1084,820,0.756458,0.286114,1.51292,132,0.790662,1.04522
2,17,15,0.882353,0.389273,1.76471,1,0.39832,0.451429
