Size,Cluster Volume,Cluster cutedges,Conductance,Lower,Upper,Internal edges,Conn value,Final Gap,Cut size,Cluster 1 size,Cluster 2 size
350,13431,9951,0.740898,0.274465,1.4818,1740,1.20428,1.62543,1,1,1
114,1404,960,0.683761,0.233764,1.36752,222,0.618669,0.904803,1,30,16
153,2730,1940,0.710623,0.252492,1.42125,395,0.751297,1.05724,1,345,2
497,5739,1601,0.278968,0.0389117,0.557937,2069,1.1075,3.96997,1,1,1
43,1193,945,0.792121,0.313728,1.58424,124,0.937185,1.18313,1,22,25
2,27,25,0.925926,0.428669,1.85185,1,0.345505,0.373145,1,1,1
44,1024,932,0.910156,0.414192,1.82031,46,0.347244,0.381521,1,1,1
47,1225,1127,0.92,0.4232,1.84,49,0.337561,0.366914,1,22,24
2,21,19,0.904762,0.409297,1.80952,1,0.372461,0.411667,1,556,1
67,2241,2063,0.920571,0.423726,1.84114,89,0.39645,0.430656,1,2,1
152,2664,1948,0.731231,0.26735,1.46246,358,0.687528,0.940234,1,1,1
63,1688,1370,0.811611,0.329357,1.62322,159,0.781939,0.96344,1,13,41
2,16,14,0.875,0.382812,1.75,1,0.406356,0.464407,1,583,1
478,21881,10947,0.500297,0.125149,1.00059,5467,2.63526,5.26738,1,276,2
48,1418,1302,0.918195,0.421541,1.83639,58,0.383357,0.417511,1,4,61
2,43,41,0.953488,0.45457,1.90698,1,0.304238,0.319078,1,1,1
3178,184929,114773,0.620633,0.192593,1.24127,35078,2.09564,3.37662,1,1,1
263,7338,5266,0.717634,0.257499,1.43527,1036,1.01902,1.41997,1,39,2
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634,1,25,38
5,55,47,0.854545,0.365124,1.70909,4,0.457617,0.535509,1,90,4
5128,945380,311572,0.329573,0.0543093,0.659147,316904,10.3418,31.3795,6,173,3
52,1182,918,0.77665,0.301592,1.5533,132,0.826057,1.06362,1,236,2
278,8307,5557,0.668954,0.22375,1.33791,1375,1.26191,1.88639,1,1,10208
75,1502,1308,0.870839,0.37918,1.74168,97,0.407098,0.467478,1,1,1
51,515,377,0.732039,0.26794,1.46408,69,0.498753,0.68132,1,114,6
26,244,182,0.745902,0.278185,1.4918,31,0.499048,0.669053,1,2,1
47,735,637,0.866667,0.375556,1.73333,49,0.363655,0.419601,1,294,8
67,1527,1263,0.827112,0.342057,1.65422,132,0.618741,0.748075,1,1,1
5,35,27,0.771429,0.297551,1.54286,4,0.514039,0.666347,1,2,1
2,17,15,0.882353,0.389273,1.76471,1,0.39832,0.451429,1,29,20
2,14,12,0.857143,0.367347,1.71429,1,0.425137,0.495993,1,19,16
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634,1,1,1
2,6,4,0.666667,0.222222,1.33333,1,0.591647,0.887471,1,186,7
2,12,10,0.833333,0.347222,1.66667,1,0.448856,0.538627,1,28,32
4,68,62,0.911765,0.415657,1.82353,3,0.407864,0.447335,1,1,1
5,60,52,0.866667,0.375556,1.73333,4,0.448096,0.517034,1,2,1
619,52302,13252,0.253375,0.0320994,0.506749,19525,6.68489,26.3834,1,1,1
265,6586,4240,0.64379,0.207233,1.28758,1173,1.15915,1.8005,1,17,47
2,11,9,0.818182,0.334711,1.63636,1,0.463314,0.566273,1,1,1
3318,215953,79465,0.367974,0.0677023,0.735947,68244,3.85572,10.4783,2,1,1
1000,72567,54413,0.749831,0.281123,1.49966,9077,1.86741,2.49044,1,466,2
53,761,641,0.842313,0.354745,1.68463,60,0.392815,0.466353,1,2,1
2,7,5,0.714286,0.255102,1.42857,1,0.553655,0.775117,1,1,1
95,1739,1403,0.806786,0.325451,1.61357,168,0.545716,0.676408,1,637,1
3,41,37,0.902439,0.407198,1.80488,2,0.410699,0.455099,1,1,1
42,1284,1186,0.923676,0.426589,1.84735,49,0.375266,0.406275,1,1,2114
313,10106,7224,0.714823,0.255486,1.42965,1441,1.14963,1.60827,1,1,1
69,1642,1370,0.834348,0.348069,1.6687,136,0.612947,0.734641,1,1,1
43,1242,1154,0.929147,0.431657,1.85829,44,0.330672,0.355888,1,62,6
288,8488,6036,0.711122,0.252847,1.42224,1226,1.08351,1.52366,1,7644,1
40,1303,1219,0.935533,0.437611,1.87107,42,0.337049,0.360274,1,89,11
29,525,431,0.820952,0.336981,1.6419,47,0.595626,0.72553,1,138,3
288,7988,5100,0.638458,0.203814,1.27692,1444,1.28479,2.01234,1,1,1
2,5,3,0.6,0.18,1.2,1,0.642549,1.07091,1,1,1
2987,190783,68415,0.358601,0.0642974,0.717202,61184,3.87904,10.8171,3,915,1
4,190,184,0.968421,0.46892,1.93684,3,0.328798,0.33952,1,323,1
2,16,14,0.875,0.382812,1.75,1,0.406356,0.464407,1,1,1
2,12,10,0.833333,0.347222,1.66667,1,0.448856,0.538627,1,1,1
4,35,29,0.828571,0.343265,1.65714,3,0.481911,0.581617,1,2,2
2,13,11,0.846154,0.357988,1.69231,1,0.436251,0.51557,1,30,23
147,2757,2203,0.799057,0.319246,1.59811,277,0.547683,0.685411,1,44,8
268,11620,8210,0.70654,0.2496,1.41308,1705,1.56496,2.21496,1,183,5
2,4,2,0.5,0.125,1.0,1,0.715338,1.43068,1,1,1
2,57,55,0.964912,0.465528,1.92982,1,0.283539,0.293849,1,1,1
59,2040,1906,0.934314,0.436471,1.86863,67,0.343096,0.367217,1,144,6
62,1723,1589,0.922229,0.425253,1.84446,67,0.333889,0.362046,1,499,2
2,41,39,0.95122,0.452409,1.90244,1,0.308024,0.32382,1,170,2
49,614,516,0.840391,0.353128,1.68078,49,0.358568,0.426668,1,2,1
229,5536,4860,0.87789,0.385346,1.75578,338,0.394303,0.449148,1,1,1
3,26,22,0.846154,0.357988,1.69231,2,0.465756,0.550439,1,1,1
219,8154,5536,0.678931,0.230473,1.35786,1309,1.52813,2.25079,1,1,1
2,36,34,0.944444,0.445988,1.88889,1,0.318837,0.337592,1,3,1
2,50,48,0.96,0.4608,1.92,1,0.292814,0.305014,1,1,1
2,5,3,0.6,0.18,1.2,1,0.642549,1.07091,1,1,1
192,5982,4502,0.752591,0.283197,1.50518,740,1.02045,1.35592,1,76,12
2,6,4,0.666667,0.222222,1.33333,1,0.591647,0.887471,1,3,1
6,175,165,0.942857,0.44449,1.88571,5,0.371111,0.393602,1,154,4
4,34,26,0.764706,0.292388,1.52941,4,0.64764,0.846914,1,1,1
1000,59523,28831,0.484367,0.117306,0.968735,15346,3.21403,6.63552,1,1,1
54,1426,1300,0.911641,0.415545,1.82328,63,0.369851,0.405698,1,2,1
7,61,43,0.704918,0.248455,1.40984,9,0.717318,1.01759,1,349,3
59,1613,1447,0.897086,0.402382,1.79417,83,0.438536,0.488844,1,1,1
2,4,2,0.5,0.125,1.0,1,0.715338,1.43068,1,1,1
2,32,30,0.9375,0.439453,1.875,1,0.329269,0.351221,1,132,3
59,810,676,0.834568,0.348252,1.66914,67,0.39037,0.467751,1,54,4
2,6,4,0.666667,0.222222,1.33333,1,0.591647,0.887471,1,1,1
2,5,3,0.6,0.18,1.2,1,0.642549,1.07091,1,18,26
91,2947,2641,0.896166,0.401556,1.79233,153,0.484596,0.540744,1,1,1
2,71,69,0.971831,0.472228,1.94366,1,0.269203,0.277006,1,742,1
187,4309,2779,0.644929,0.207967,1.28986,765,1.12558,1.74528,1,1,1
276,8873,6523,0.735152,0.270224,1.4703,1175,1.0783,1.46677,1,1,1
123,2173,1333,0.613438,0.188153,1.22688,420,1.02319,1.66795,1,22,21
2,22,20,0.909091,0.413223,1.81818,1,0.367181,0.403899,1,186,4
65,1519,1275,0.839368,0.352269,1.67874,122,0.589885,0.702773,1,1,1
41,1407,1325,0.94172,0.443418,1.88344,41,0.317601,0.337257,1,2,2
92,1149,881,0.766754,0.293956,1.53351,134,0.475879,0.620641,1,31,18
182,5284,3678,0.696064,0.242252,1.39213,803,1.18508,1.70254,1,26,23
464,17445,11857,0.679679,0.230982,1.35936,2794,1.41961,2.08865,1,2,1
396,14020,9886,0.705136,0.248608,1.41027,2067,1.25874,1.7851,1,3,2
210,6968,3544,0.508611,0.129342,1.01722,1712,2.12126,4.1707,1,1,1
2,5,3,0.6,0.18,1.2,1,0.642549,1.07091,1,323,3
4,49,43,0.877551,0.385048,1.7551,3,0.441444,0.503041,1,1,1
2,16,14,0.875,0.382812,1.75,1,0.406356,0.464407,1,1,1
4,51,41,0.803922,0.323145,1.60784,5,0.728437,0.906104,2,80,11
3,121,117,0.966942,0.467489,1.93388,2,0.319536,0.33046,1,151,2
34,497,401,0.806841,0.325496,1.61368,48,0.523413,0.648719,1,2,1
2,27,25,0.925926,0.428669,1.85185,1,0.345505,0.373145,1,398,2
2,40,38,0.95,0.45125,1.9,1,0.310023,0.32634,1,27,24
33,431,347,0.805104,0.324097,1.61021,42,0.48292,0.599823,1,1,1
2,5,3,0.6,0.18,1.2,1,0.642549,1.07091,1,10,39
55,1550,1424,0.91871,0.422014,1.83742,63,0.359008,0.390774,1,1685,1
2,16,14,0.875,0.382812,1.75,1,0.406356,0.464407,1,4,50
497,22647,12669,0.559412,0.156471,1.11882,4989,2.30497,4.12035,1,3,274
512,14718,8844,0.600897,0.180539,1.20179,2937,1.37632,2.29044,1,1,1
2,6,4,0.666667,0.222222,1.33333,1,0.591647,0.887471,1,1,1
2,24,22,0.916667,0.420139,1.83333,1,0.357669,0.390185,1,1,1
511,15989,9575,0.598849,0.17931,1.1977,3207,1.4929,2.49295,1,358,2
3,30,26,0.866667,0.375556,1.73333,2,0.447019,0.515791,1,52,7
42,1369,1279,0.934259,0.43642,1.86852,45,0.341576,0.365612,1,177,3
177,5358,4244,0.792087,0.313701,1.58417,557,0.843878,1.06539,1,1,1
3,18,14,0.777778,0.302469,1.55556,2,0.521341,0.670296,1,55,9
220,5054,3618,0.715869,0.256234,1.43174,718,0.881178,1.23092,1,1,1
2,54,52,0.962963,0.463649,1.92593,1,0.287296,0.298346,1,1,1
2,58,56,0.965517,0.466112,1.93103,1,0.28235,0.292434,1,1,1
2,18,16,0.888889,0.395062,1.77778,1,0.391006,0.439881,1,32,1
73,1108,936,0.844765,0.356814,1.68953,86,0.386899,0.457996,1,1084,1
63,1427,1291,0.904695,0.409237,1.80939,68,0.342142,0.378185,1,1,1
210,6299,4331,0.687569,0.236376,1.37514,984,1.2333,1.7937,1,30,19
159,3930,2826,0.719084,0.258541,1.43817,552,0.965835,1.34315,1,112,2
2,20,18,0.9,0.405,1.8,1,0.378152,0.420169,1,1,1
2,7,5,0.714286,0.255102,1.42857,1,0.553655,0.775117,1,2,1
4,116,110,0.948276,0.449614,1.89655,3,0.362637,0.382417,1,111,4
679,35731,23651,0.661918,0.219068,1.32384,6040,1.95373,2.95162,1,1,1
372,9464,5386,0.569104,0.16194,1.13821,2039,1.37853,2.42227,1,1,1
110,2098,1746,0.832221,0.346296,1.66444,176,0.481636,0.578735,1,21,13
2,23,21,0.913043,0.416824,1.82609,1,0.362263,0.396765,1,1,1
3,7,3,0.428571,0.0918367,0.857143,2,0.738206,1.72248,1,30,13
2,16,14,0.875,0.382812,1.75,1,0.406356,0.464407,1,1,1
80,2204,1928,0.874773,0.382614,1.74955,138,0.515941,0.589799,1,18,42
2,13,11,0.846154,0.357988,1.69231,1,0.436251,0.51557,1,43,17
6,149,139,0.932886,0.435138,1.86577,5,0.38295,0.4105,1,59,9
188,4344,3030,0.697514,0.243263,1.39503,657,0.960608,1.37719,1,1,1
2,21,19,0.904762,0.409297,1.80952,1,0.372461,0.411667,1,1,1
696,46002,22406,0.487066,0.118617,0.974132,11798,3.63541,7.4639,1,1,1
7,52,36,0.692308,0.239645,1.38462,8,0.662804,0.957384,1,318,4
113,2232,1632,0.731183,0.267314,1.46237,300,0.792761,1.08422,1,6,94
4,21,15,0.714286,0.255102,1.42857,3,0.558691,0.782168,1,1,1
566,46074,28894,0.627122,0.196641,1.25424,8590,3.25438,5.18939,1,36,17
49,1969,1853,0.941087,0.442822,1.88217,58,0.359291,0.381783,1,105,5
2,15,13,0.866667,0.375556,1.73333,1,0.415241,0.479124,1,254,3
2,20,18,0.9,0.405,1.8,1,0.378152,0.420169,1,1,1170
1820,142819,76287,0.534152,0.142659,1.0683,33266,3.54583,6.63825,2,19,15
53,860,716,0.832558,0.346577,1.66512,72,0.462858,0.555947,1,1,1
243,5954,4170,0.700369,0.245259,1.40074,892,0.972423,1.38844,1,251,3
103,2187,1671,0.76406,0.291894,1.52812,258,0.749946,0.981527,1,2586,1
282,9698,6962,0.71788,0.257676,1.43576,1368,1.2168,1.695,1,2,1193
217,7934,5678,0.715654,0.25608,1.43131,1128,1.33302,1.86265,1,552,1
686,36478,18582,0.509403,0.129746,1.01881,8948,2.85919,5.61282,1,29,20
56,1497,1331,0.889112,0.39526,1.77822,83,0.466741,0.524953,1,134,1
2,26,24,0.923077,0.426036,1.84615,1,0.349317,0.378427,1,1,1
5,23,15,0.652174,0.212665,1.30435,4,0.579621,0.888753,1,945,1
2,4,2,0.5,0.125,1.0,1,0.715338,1.43068,1,20,22
2,9,7,0.777778,0.302469,1.55556,1,0.5,0.642857,1,8,39
2,87,85,0.977011,0.477276,1.95402,1,0.257138,0.263188,1,21,19
2,16,14,0.875,0.382812,1.75,1,0.406356,0.464407,1,2,1
2,70,68,0.971429,0.471837,1.94286,1,0.270087,0.27803,1,45,8
71,1933,1687,0.872737,0.380835,1.74547,123,0.527131,0.603998,1,1,1
2,28,26,0.928571,0.431122,1.85714,1,0.341904,0.368205,1,999,1
2,7,5,0.714286,0.255102,1.42857,1,0.553655,0.775117,1,24,14
2,7,5,0.714286,0.255102,1.42857,1,0.553655,0.775117,1,62,6
2,16,14,0.875,0.382812,1.75,1,0.406356,0.464407,1,2,1
2,39,37,0.948718,0.450033,1.89744,1,0.312098,0.328968,1,201,4
50,634,504,0.794953,0.315975,1.58991,65,0.463826,0.583464,1,34,8
67,2079,1737,0.835498,0.349028,1.671,171,0.769195,0.920643,1,63,4
3,38,34,0.894737,0.400277,1.78947,2,0.419007,0.468302,1,1,1
109,1702,1434,0.842538,0.354935,1.68508,134,0.380463,0.451568,1,98,7
126,2482,1990,0.801773,0.32142,1.60355,246,0.575079,0.71726,1,12,5
2,55,53,0.963636,0.464298,1.92727,1,0.28601,0.296803,1,1146,1
433,17033,10309,0.605237,0.183156,1.21047,3362,1.83499,3.03186,1,4,1
54,1139,975,0.856014,0.36638,1.71203,82,0.49675,0.580306,1,2308,1
123,2469,1799,0.728635,0.265455,1.45727,335,0.802776,1.10175,1,774,1
43,1082,958,0.885397,0.391964,1.77079,62,0.475136,0.536636,1,1,1
412,14800,10370,0.700676,0.245473,1.40135,2215,1.28917,1.8399,1,1,1
395,18118,11312,0.624351,0.194907,1.2487,3403,2.02323,3.24053,1,266,3
471,19554,12024,0.614913,0.189059,1.22983,3765,1.86277,3.02933,1,2,1
2,21,19,0.904762,0.409297,1.80952,1,0.372461,0.411667,1,2,1
50,979,873,0.891726,0.397588,1.78345,53,0.35437,0.397397,1,154,1
2,24,22,0.916667,0.420139,1.83333,1,0.357669,0.390185,1,18,19
257,4983,3157,0.633554,0.200695,1.26711,913,0.960772,1.51648,1,1000,1
11,219,199,0.908676,0.412846,1.81735,10,0.388099,0.427103,1,1,1
242,8539,6051,0.708631,0.251079,1.41726,1244,1.30753,1.84515,1,1,1
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634,1,2,1
425,10822,8310,0.76788,0.29482,1.53576,1256,0.732533,0.953968,1,28,18
56,1023,905,0.884653,0.391305,1.76931,59,0.349989,0.395623,1,63,6
2,24,22,0.916667,0.420139,1.83333,1,0.357669,0.390185,1,1379,1
116,2811,2241,0.797225,0.317784,1.59445,285,0.712347,0.893533,1,23,21
2,12,10,0.833333,0.347222,1.66667,1,0.448856,0.538627,1,1,1
2,35,33,0.942857,0.44449,1.88571,1,0.321274,0.340745,1,399,2
37,1092,1014,0.928571,0.431122,1.85714,39,0.346886,0.373569,1,3,1
2,10,8,0.8,0.32,1.6,1,0.480126,0.600158,1,1,1
470,24855,21073,0.847837,0.359414,1.69567,1891,0.915361,1.07964,1,1518,1
200,4272,3330,0.779494,0.303806,1.55899,471,0.648629,0.832116,1,1,1
2,6,4,0.666667,0.222222,1.33333,1,0.591647,0.887471,1,2,1
37,1307,1233,0.943382,0.444985,1.88676,37,0.320862,0.340119,1,1,1
2,33,31,0.939394,0.44123,1.87879,1,0.326482,0.347545,1,1,1
40,1058,980,0.926276,0.428994,1.85255,39,0.322325,0.34798,1,14,28
55,1105,997,0.902262,0.407039,1.80452,54,0.322568,0.35751,1,104,5
2,17,15,0.882353,0.389273,1.76471,1,0.39832,0.451429,1,251,3
27,721,655,0.90846,0.41265,1.81692,33,0.427569,0.470652,1,2,2
2,50,48,0.96,0.4608,1.92,1,0.292814,0.305014,1,1,1
2,20,18,0.9,0.405,1.8,1,0.378152,0.420169,1,1,1
2,4,2,0.5,0.125,1.0,1,0.715338,1.43068,1,43,5
2,18,16,0.888889,0.395062,1.77778,1,0.391006,0.439881,1,1,1
7,40,22,0.55,0.15125,1.1,9,0.797202,1.44946,1,3,1
171,5553,4485,0.807672,0.326167,1.61534,534,0.833948,1.03253,1,1,1
3,86,80,0.930233,0.432666,1.86047,3,0.515592,0.554261,2,2,1
243,5112,3506,0.685837,0.235186,1.37167,803,0.891026,1.29918,1,34,16
47,1136,996,0.876761,0.384355,1.75352,70,0.487395,0.555904,1,1,1
45,1545,1453,0.940453,0.442226,1.88091,46,0.320525,0.34082,1,1,1
2,24,22,0.916667,0.420139,1.83333,1,0.357669,0.390185,1,117,5
2,23,21,0.913043,0.416824,1.82609,1,0.362263,0.396765,1,541,1
351,16119,8045,0.4991,0.124551,0.998201,4037,2.73364,5.47714,1,334,1
2,14,12,0.857143,0.367347,1.71429,1,0.425137,0.495993,1,47,4
2,11,9,0.818182,0.334711,1.63636,1,0.463314,0.566273,1,669,1
2,9,7,0.777778,0.302469,1.55556,1,0.5,0.642857,1,1,1
34,984,918,0.932927,0.435176,1.86585,33,0.324239,0.34755,1,2,1
2,31,29,0.935484,0.437565,1.87097,1,0.332193,0.355103,1,1,1
228,6775,4849,0.71572,0.256127,1.43144,963,1.10251,1.54042,1,1,1
73,1233,985,0.798865,0.319092,1.59773,124,0.549485,0.687832,1,115,2
4,34,28,0.823529,0.3391,1.64706,3,0.48573,0.589815,1,1,1
44,753,667,0.88579,0.392312,1.77158,43,0.339641,0.383433,1,1,1
248,6658,4148,0.62301,0.194071,1.24602,1255,1.32355,2.12445,1,1,1
156,5989,2113,0.352813,0.0622387,0.705627,1938,3.28877,9.32155,1,23,22
392,9185,6671,0.726293,0.263751,1.45259,1257,0.809117,1.11404,1,41,19
240,8158,4950,0.606766,0.184083,1.21353,1604,1.70858,2.81587,1,707,5
1433,80530,40758,0.506122,0.12808,1.01224,19886,2.82864,5.58884,2,1,1
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634,1,28,27
76,2058,1624,0.789116,0.311352,1.57823,217,0.861665,1.09194,1,27,23
121,2638,2054,0.77862,0.303125,1.55724,292,0.705324,0.905864,1,20,26
22,270,192,0.711111,0.25284,1.42222,39,0.728627,1.02463,1,646,1
2,23,21,0.913043,0.416824,1.82609,1,0.362263,0.396765,1,29,29
2,43,41,0.953488,0.45457,1.90698,1,0.304238,0.319078,1,1,1
44,1233,1141,0.925385,0.428169,1.85077,46,0.338191,0.36546,1,443,2
2,29,27,0.931034,0.433413,1.86207,1,0.338496,0.36357,1,248,2
2,4,2,0.5,0.125,1.0,1,0.715338,1.43068,1,1,1
1027,35757,25363,0.709316,0.251564,1.41863,5197,1.11135,1.56679,2,7753,1
270,9176,5890,0.641892,0.206013,1.28378,1643,1.53562,2.39233,1,1,1
2,5,3,0.6,0.18,1.2,1,0.642549,1.07091,1,1,1
5,197,189,0.959391,0.460215,1.91878,4,0.348331,0.363075,1,251,2
314,8680,4916,0.566359,0.160382,1.13272,1882,1.52178,2.68695,1,2,1
2,15,13,0.866667,0.375556,1.73333,1,0.415241,0.479124,1,26,16
46,754,662,0.877984,0.385428,1.75597,46,0.34747,0.395759,1,21,25
2,30,28,0.933333,0.435556,1.86667,1,0.335264,0.359212,1,11,1
142,5099,3373,0.661502,0.218793,1.323,863,1.6392,2.478,1,2,1
48,1005,897,0.892537,0.398311,1.78507,54,0.374676,0.419787,1,1,1
83,2000,1504,0.752,0.282752,1.504,248,0.905098,1.20359,1,1426,1
96,1936,1480,0.764463,0.292202,1.52893,228,0.722515,0.945128,1,103,7
3,34,30,0.882353,0.389273,1.76471,2,0.43176,0.489328,1,8,1
4,14,8,0.571429,0.163265,1.14286,3,0.637706,1.11598,1,2,1
1001,60108,24972,0.415452,0.0863003,0.830904,17568,3.67246,8.83966,1,891,2
2,46,44,0.956522,0.457467,1.91304,1,0.299026,0.312618,1,1,1
355,16935,11615,0.685858,0.2352,1.37172,2660,1.77188,2.58346,1,1,1
2,41,39,0.95122,0.452409,1.90244,1,0.308024,0.32382,1,66,10
77,1646,1184,0.71932,0.25871,1.43864,231,0.932635,1.29655,1,1,1
120,2518,2062,0.818904,0.335302,1.63781,228,0.558622,0.682158,1,888,1
241,5728,3872,0.675978,0.228473,1.35196,928,1.02463,1.51577,1,1,1
160,6195,5111,0.82502,0.340329,1.65004,542,0.893302,1.08276,1,1,1
2,27,25,0.925926,0.428669,1.85185,1,0.345505,0.373145,1,17,26
501,13880,10232,0.737176,0.271714,1.47435,1824,0.878887,1.19223,1,28,33
737,42865,20555,0.479529,0.114974,0.959058,11155,3.26756,6.8141,1,21,22
544,26399,16993,0.643699,0.207174,1.2874,4703,1.95522,3.03748,1,30,23
90,2889,2481,0.858775,0.368747,1.71755,204,0.654936,0.76264,1,10,38
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634,1,517,2
2,36,34,0.944444,0.445988,1.88889,1,0.318837,0.337592,1,75,10
2,11,9,0.818182,0.334711,1.63636,1,0.463314,0.566273,1,1,1
64,1878,1736,0.924388,0.427246,1.84878,71,0.338851,0.366569,1,1,1
41,912,830,0.910088,0.41413,1.82018,41,0.337784,0.371156,1,1,1
616,27693,20519,0.740945,0.2745,1.48189,3587,1.31079,1.76908,1,1,1
2,9,7,0.777778,0.302469,1.55556,1,0.5,0.642857,1,1,1
17,179,141,0.787709,0.310243,1.57542,19,0.495571,0.629129,1,11,98
206,12576,6014,0.478212,0.114344,0.956425,3281,3.88508,8.12417,1,1,1
42,758,676,0.891821,0.397672,1.78364,41,0.338927,0.380039,1,72,15
53,1627,1407,0.864782,0.373924,1.72956,110,0.646231,0.747277,1,332,2
5,54,46,0.851852,0.362826,1.7037,4,0.459674,0.539618,1,2,1
3,23,17,0.73913,0.273157,1.47826,3,0.724527,0.980242,2,1,1
3,32,28,0.875,0.382812,1.75,2,0.439026,0.501744,1,1,1
48,1247,1071,0.858861,0.368821,1.71772,88,0.592121,0.689426,1,357,2
80,2300,1834,0.797391,0.317916,1.59478,233,0.866321,1.08644,1,1,1
372,18358,12526,0.682318,0.232779,1.36464,2916,1.83841,2.69436,1,4,1
62,1282,1142,0.890796,0.396758,1.78159,70,0.36324,0.40777,1,251,2
2,7,5,0.714286,0.255102,1.42857,1,0.553655,0.775117,1,1,1
4,18,8,0.444444,0.0987654,0.888889,5,0.977514,2.19941,2,2,2
3,43,39,0.906977,0.411303,1.81395,2,0.40565,0.447255,1,221,2
50,1473,1353,0.918534,0.421852,1.83707,60,0.378728,0.412319,1,2302,1
136,2211,1563,0.70692,0.249868,1.41384,324,0.712259,1.00755,1,1,1
31,1083,1019,0.940905,0.442651,1.88181,32,0.340115,0.361476,1,18,28
231,4722,3334,0.706057,0.249258,1.41211,694,0.817678,1.15809,1,1,1
54,2030,1918,0.944828,0.44635,1.88966,56,0.313521,0.331829,1,28,25
145,2945,2269,0.770458,0.296803,1.54092,338,0.671916,0.8721,1,132,2
2412,124245,63601,0.5119,0.131021,1.0238,30322,2.46773,4.82073,1,1,1
2,15,13,0.866667,0.375556,1.73333,1,0.415241,0.479124,1,1,1
123,2536,1894,0.746845,0.278889,1.49369,321,0.766601,1.02645,1,479,3
308,20750,9262,0.446361,0.0996193,0.892723,5744,4.31994,9.67812,1,3,1
4,122,116,0.95082,0.452029,1.90164,3,0.358868,0.37743,1,1,1
2,53,51,0.962264,0.462976,1.92453,1,0.288618,0.299936,1,2,508
3,12,8,0.666667,0.222222,1.33333,2,0.598474,0.897712,1,2,2
8,55,39,0.709091,0.251405,1.41818,8,0.572021,0.806696,1,1,1
183,4358,2546,0.584213,0.170652,1.16843,906,1.36034,2.32851,1,1,1
46,1293,1125,0.87007,0.378511,1.74014,84,0.586801,0.67443,1,10461,1
318,9545,5735,0.600838,0.180503,1.20168,1905,1.50523,2.50523,1,2,1
2,21,19,0.904762,0.409297,1.80952,1,0.372461,0.411667,1,26,11
53,1295,1183,0.913514,0.417253,1.82703,56,0.33946,0.371598,1,3,1
3,10,6,0.6,0.18,1.2,2,0.640168,1.06695,1,251,3
2,27,25,0.925926,0.428669,1.85185,1,0.345505,0.373145,1,1,1
2093,182822,98264,0.537485,0.144445,1.07497,42279,3.83886,7.14227,1,32,30
173,4870,3822,0.784805,0.307959,1.56961,524,0.821371,1.04659,1,1,1
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634,1,109,3
129,3438,2690,0.782432,0.3061,1.56486,374,0.819816,1.04778,1,376,2
99,1866,1450,0.777063,0.301914,1.55413,208,0.642286,0.826556,1,93,2
2,70,68,0.971429,0.471837,1.94286,1,0.270087,0.27803,1,1,1
775,34227,17523,0.511964,0.131054,1.02393,8352,2.37668,4.64228,1,862,2
50,1257,1045,0.831344,0.345567,1.66269,106,0.683941,0.822693,1,210,4
60,656,508,0.77439,0.29984,1.54878,74,0.43773,0.565258,1,2,1
2,77,75,0.974026,0.474363,1.94805,1,0.264257,0.271304,1,39,16
39,729,633,0.868313,0.376984,1.73663,48,0.429839,0.495028,1,15,26
2,14,12,0.857143,0.367347,1.71429,1,0.425137,0.495993,1,29,23
2,12,10,0.833333,0.347222,1.66667,1,0.448856,0.538627,1,2,1
141,4327,2559,0.591403,0.174879,1.18281,884,1.72415,2.91536,1,1,1
53,813,699,0.859779,0.36961,1.71956,57,0.369499,0.42976,1,397,2
303,11652,7658,0.657226,0.215973,1.31445,1997,1.62077,2.46608,1,375,2
41,1122,1038,0.925134,0.427936,1.85027,42,0.335824,0.363,1,391,2
2,19,17,0.894737,0.400277,1.78947,1,0.384311,0.429524,1,25,36
55,1454,1328,0.913343,0.417097,1.82669,63,0.362157,0.396519,1,1,1
212,6827,4487,0.657243,0.215984,1.31449,1170,1.43934,2.18997,1,1038,1
58,591,457,0.773266,0.29897,1.54653,67,0.416681,0.538858,1,1,1
2,11,9,0.818182,0.334711,1.63636,1,0.463314,0.566273,1,1,1
3,74,70,0.945946,0.447407,1.89189,2,0.355544,0.375861,1,1,1
3,23,19,0.826087,0.34121,1.65217,2,0.483018,0.584706,1,1,1
2,18,16,0.888889,0.395062,1.77778,1,0.391006,0.439881,1,1,1
2,20,18,0.9,0.405,1.8,1,0.378152,0.420169,1,281,3
45,956,672,0.702929,0.247054,1.40586,142,1.05859,1.50597,1,22,24
2,17,15,0.882353,0.389273,1.76471,1,0.39832,0.451429,1,31,25
83,1682,1334,0.793103,0.314507,1.58621,174,0.649824,0.819343,1,116,6
84,2211,1953,0.883311,0.390119,1.76662,129,0.459137,0.519791,1,3,6
2,22,20,0.909091,0.413223,1.81818,1,0.367181,0.403899,1,171,5
5,67,59,0.880597,0.387726,1.76119,4,0.43656,0.495755,1,554,1
76,1905,1425,0.748031,0.279776,1.49606,240,0.962737,1.28703,1,288,3
101,3771,3299,0.874834,0.382667,1.74967,236,0.653317,0.746789,1,29,17
