Size,Cluster Volume,Cluster cutedges,Conductance,Lower,Upper,Internal edges,Conn value,Final Gap,Cut size,Cluster 1 size,Cluster 2 size
81,647,329,0.508501,0.129287,1.017,159,0.698172,1.373,1,4,3
484,28834,15624,0.54186,0.146806,1.08372,6605,3.05985,5.64694,1,1905,2
57,1620,1488,0.918519,0.421838,1.83704,66,0.360739,0.39274,1,1,1
432,15071,8105,0.537788,0.144608,1.07558,3483,1.92967,3.58817,1,2,1
51,1179,827,0.701442,0.24601,1.40288,176,1.12341,1.60157,1,12,48
2,7,5,0.714286,0.255102,1.42857,1,0.553655,0.775117,1,1,1
134,3394,2502,0.737183,0.27172,1.47437,446,0.942653,1.27872,1,114,8
52,1305,965,0.739464,0.273403,1.47893,170,1.04919,1.41886,1,17,29
49,1124,1026,0.912811,0.416612,1.82562,49,0.327745,0.35905,1,1,1
799,46942,32594,0.694346,0.241058,1.38869,7174,1.92199,2.76806,1,1,1
2,4,2,0.5,0.125,1.0,1,0.715338,1.43068,1,1,1
158,3665,2847,0.776808,0.301715,1.55362,409,0.726282,0.934957,1,206,2
73,1377,1147,0.83297,0.34692,1.66594,115,0.501821,0.602448,1,67,7
2,58,56,0.965517,0.466112,1.93103,1,0.28235,0.292434,1,1025,1
2,11,9,0.818182,0.334711,1.63636,1,0.463314,0.566273,1,662,1
2,48,46,0.958333,0.459201,1.91667,1,0.295824,0.308686,1,89,5
59,1028,868,0.844358,0.35647,1.68872,80,0.450115,0.533085,1,1,1
330,9434,6706,0.710833,0.252642,1.42167,1364,1.0399,1.46293,1,96,6
51,1633,1527,0.935089,0.437196,1.87018,53,0.323416,0.345866,1,3,2
2,23,21,0.913043,0.416824,1.82609,1,0.362263,0.396765,1,41,11
3,89,85,0.955056,0.456066,1.91011,2,0.341138,0.357192,1,2,150
48,824,728,0.883495,0.390282,1.76699,48,0.342882,0.388097,1,1,1
464,19572,12276,0.627223,0.196704,1.25445,3648,1.83194,2.92072,1,30,19
697,40812,21780,0.533667,0.1424,1.06733,9516,2.96105,5.5485,1,1,1
529,19373,12849,0.663243,0.219945,1.32649,3262,1.43831,2.1686,1,1,1
5,73,63,0.863014,0.372396,1.72603,5,0.534979,0.619896,1,26,30
89,1926,1306,0.678089,0.229903,1.35618,310,1.06036,1.56374,1,1,1
3,17,13,0.764706,0.292388,1.52941,2,0.531093,0.694506,1,95,5
302,10164,5682,0.559032,0.156258,1.11806,2241,1.85184,3.31259,1,89,3
5,139,131,0.942446,0.444102,1.88489,4,0.372764,0.395529,1,1,1
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634,1,709,2
134,2777,2145,0.772416,0.298313,1.54483,316,0.684783,0.886546,1,2,3
380,8493,4589,0.540327,0.145977,1.08065,1952,1.30738,2.41961,1,1,1
238,5872,4428,0.754087,0.284324,1.50817,722,0.804915,1.0674,1,2,2
2,6,4,0.666667,0.222222,1.33333,1,0.591647,0.887471,1,64,6
47,570,460,0.807018,0.325639,1.61404,55,0.424508,0.52602,1,1,1
3,27,23,0.851852,0.362826,1.7037,2,0.460673,0.54079,1,2,4
139,3008,2192,0.728723,0.265519,1.45745,408,0.843846,1.15798,1,8252,1
56,1871,1733,0.926243,0.428963,1.85249,69,0.376537,0.40652,1,236,5
2,12,10,0.833333,0.347222,1.66667,1,0.448856,0.538627,1,1195,1
30,1269,1209,0.952719,0.453836,1.90544,30,0.322185,0.338175,1,1111,1
47,1323,1205,0.910809,0.414786,1.82162,59,0.402103,0.441479,1,11,1
38,777,661,0.850708,0.361852,1.70142,58,0.527958,0.62061,1,1,1
414,13040,8282,0.635123,0.20169,1.27025,2379,1.39634,2.19854,1,22,24
5290,463480,180766,0.390019,0.0760574,0.780038,141357,4.7161,12.092,6,2,1
332,8552,5520,0.645463,0.208311,1.29093,1516,1.16127,1.79913,1,24,19
4,78,66,0.846154,0.357988,1.69231,6,0.790461,0.934181,3,17,19
281,9862,7074,0.717299,0.257259,1.4346,1394,1.24207,1.7316,1,1,1
632,30894,14406,0.466304,0.10872,0.932608,8244,2.90526,6.2304,1,1,1
68,1371,1135,0.827863,0.342678,1.65573,118,0.553108,0.668115,1,57,5
571,30281,18729,0.618507,0.191275,1.23701,5776,2.25735,3.64967,1,173,5
305,15521,10973,0.706978,0.249909,1.41396,2274,1.77901,2.51636,1,1,1
4,43,37,0.860465,0.3702,1.72093,3,0.456356,0.53036,1,3,1
2,9,7,0.777778,0.302469,1.55556,1,0.5,0.642857,1,40,14
150,3428,2866,0.836056,0.349495,1.67211,281,0.529914,0.633825,1,32,16
52,949,805,0.848261,0.359774,1.69652,72,0.464991,0.54817,1,1,1
55,846,632,0.747045,0.279038,1.49409,107,0.664458,0.889448,1,1,1
3,122,118,0.967213,0.467751,1.93443,2,0.318994,0.329807,1,122,4
996,59995,35277,0.587999,0.172871,1.176,12359,2.59697,4.41662,1,37,15
85,2359,2039,0.864349,0.37355,1.7287,160,0.558079,0.645664,1,1,1
4,126,118,0.936508,0.438524,1.87302,4,0.47533,0.507555,1,224,3
